competitionCode,teamShortName,playerName,profileUrl,seasonMatches,seasonStarts,seasonMinutes,seasonTries,seasonYellowCards,seasonRedCards,contractEndDate,careerHistory
PROD2,BRI,Louis MARY,https://www.allrugby.com/joueurs/louis-mary-12162.html,2,0,36,,,,2027-06-30,Union Bordeaux-Bègles (2026 - 2026) | FC Grenoble Rugby (2026 - 2026) | CA Brive Corrèze Limousin (2026 - 2027)
PROD2,BRI,Marcel VAN DER MERWE,https://www.allrugby.com/joueurs/marcel-van-der-merwe-3420.html,9,9,432,2,,,2027-06-30,Stade Rochelais (2021 - 2021) | London Irish (2021 - 2022) | CA Brive Corrèze Limousin (2022 - 2027)
PROD2,BRI,Simon-Pierre CHAUVAC,https://www.allrugby.com/joueurs/simon-pierre-chauvac-5859.html,3,2,131,,,,2027-06-30,Montpellier Hérault Rugby (2024 - 2024) | Section Paloise Béarn Pyrénées (2024 - 2024) | CA Brive Corrèze Limousin (2024 - 2027)
PROD2,BRI,Beau FARRANCE,https://www.allrugby.com/joueurs/beau-farrance-8270.html,15,4,530,,,,,Stado Tarbes Pyrénées Rugby (2023 - 2023) | Sporting Union Agenais (2023 - 2026) | Nissa Rugby (2026 - 2027)
PROD2,BRI,Vakh ABDALADZE,https://www.allrugby.com/joueurs/vakh-abdaladze-6332.html,1,1,49,1,,,2027-06-30,CA Brive Corrèze Limousin (2023 - 2027)
PROD2,BRI,Lucas DA SILVA,https://www.allrugby.com/joueurs/lucas-da-silva-5594.html,3,1,109,1,,,2027-06-30,CA Brive Corrèze Limousin (2022 - 2027)
PROD2,BRI,Quentin ALGAY,https://www.allrugby.com/joueurs/quentin-algay-15391.html,1,0,31,,,,2027-06-30,CA Brive Corrèze Limousin (2017 - 2027)
PROD2,BRI,Yanis CHARCOSSET,https://www.allrugby.com/joueurs/yanis-charcosset-11279.html,2,2,100,1,,,2027-06-30,Lyon Olympique Universitaire Rugby (2016 - 2025) | CA Brive Corrèze Limousin (2025 - 2027)
PROD2,BRI,Alexandre RICARD,https://www.allrugby.com/joueurs/alexandre-ricard-7063.html,3,3,230,1,,,2027-06-30,Union Bordeaux-Bègles (2023 - 2025) | CA Brive Corrèze Limousin (2025 - 2027)
PROD2,BRI,Anthony COLETTA,https://www.allrugby.com/joueurs/anthony-coletta-1959.html,22,17,1239,4,,,2027-06-30,Soyaux-Angoulême XV Charente (2017 - 2020) | US Colomiers (2020 - 2025) | CA Brive Corrèze Limousin (2025 - 2027)
PROD2,BRI,Florent GUION,https://www.allrugby.com/joueurs/florent-guion-5163.html,1,0,32,,,,,Soyaux-Angoulême XV Charente (2017 - 2019) | Rouen Normandie Rugby (2019 - 2021) | Sporting Union Agenais (2021 - 2027)
PROD2,BRI,Irné HERBST,https://www.allrugby.com/joueurs/irne-herbst-5668.html,2,2,103,,,,2027-06-30,Harlequins (2022 - 2025) | CA Brive Corrèze Limousin (2025 - 2027)
PROD2,BRI,Konstantine MIKAUTADZE,https://www.allrugby.com/joueurs/konstantine-mikautadze-1279.html,2,1,84,,,,2027-06-30,Montpellier Hérault Rugby (2016 - 2020) | Aviron Bayonnais (2020 - 2024) | CA Brive Corrèze Limousin (2024 - 2027)
PROD2,BRI,Hans LOMBARD-BURET,https://www.allrugby.com/joueurs/hans-lombard-buret-6129.html,2,2,110,,,,,Stade Toulousain (2015 - 2018) | Sporting Union Agenais (2018 - 2027)
PROD2,BRI,Teun KARST,https://www.allrugby.com/joueurs/teun-karst-13642.html,2,0,53,,,,2027-06-30,CA Brive Corrèze Limousin (2021 - 2027)
PROD2,BRI,Geoffrey MALATERRE,https://www.allrugby.com/joueurs/geoffrey-malaterre-12173.html,1,0,17,,,,2027-06-30,Naves Section Lagraulière (2015 - 2019) | CA Brive Corrèze Limousin (2019 - 2027)
PROD2,BRI,Malik HAMADACHE,https://www.allrugby.com/joueurs/malik-hamadache-1497.html,7,6,313,,,,,Section Paloise Béarn Pyrénées (2016 - 2021) | Montpellier Hérault Rugby (2021 - 2022) | Sporting Union Agenais (2022 - 2024)
PROD2,BRI,Henco VENTER,https://www.allrugby.com/joueurs/henco-venter-6229.html,2,2,77,,,,2027-06-30,Sharks Rugby Club (2020 - 2023) | Glasgow Warriors (2023 - 2025) | CA Brive Corrèze Limousin (2025 - 2027)
PROD2,BRI,Mamuka MSTOIANI,https://www.allrugby.com/joueurs/mamuka-mstoiani-11285.html,2,2,108,,,,,Sporting Union Agenais (2021 - 2026) | US Colomiers (2026 - 2027)
PROD2,BRI,Lucas OUDARD,https://www.allrugby.com/joueurs/lucas-oudard-15385.html,3,2,138,,,,2027-06-30,ASM Clermont Auvergne (2019 - 2024) | Stade Aurillacois Cantal Auvergne (2024 - 2026) | CA Brive Corrèze Limousin (2026 - 2027)
PROD2,BRI,Régis OMBY,https://www.allrugby.com/joueurs/regis-omby-21192.html,2,0,24,,,,2027-06-30,CA Brive Corrèze Limousin (2021 - 2027)
PROD2,BRI,Retief MARAIS,https://www.allrugby.com/joueurs/retief-marais-4670.html,25,20,1544,1,,,2027-06-30,CA Brive Corrèze Limousin (2016 - 2027)
PROD2,BRI,Samuel MAXIMIN,https://www.allrugby.com/joueurs/samuel-maximin-8651.html,1,0,25,,,,2027-06-30,Montpellier Hérault Rugby (2023 - 2023) | Rouen Normandie Rugby (2023 - 2024) | CA Brive Corrèze Limousin (2024 - 2027)
PROD2,BRI,Sasha GUÉ,https://www.allrugby.com/joueurs/sasha-gue-7743.html,3,3,223,,,,2027-06-30,CA Brive Corrèze Limousin (2021 - 2027)
PROD2,BRI,Taniela SADRUGU,https://www.allrugby.com/joueurs/taniela-sadrugu-16336.html,21,6,807,3,,,2027-06-30,CA Brive Corrèze Limousin (2023 - 2027)
PROD2,BRI,Richard BARRINGTON,https://www.allrugby.com/joueurs/richard-barrington-2255.html,18,1,374,,,,,Sporting Union Agenais (2022 - 2024) | Ampthill Rugby (2024 - 2027)
PROD2,BRI,Yann PEYSSON,https://www.allrugby.com/joueurs/yann-peysson-6585.html,3,2,216,,,,2027-06-30,Castres Olympique (2023 - 2025) | CA Brive Corrèze Limousin (2025 - 2027)
PROD2,BRI,John COONEY,https://www.allrugby.com/joueurs/john-cooney-4090.html,3,3,233,,,,2027-06-30,Connacht Rugby (2015 - 2017) | Ulster Rugby (2017 - 2025) | CA Brive Corrèze Limousin (2025 - 2027)
PROD2,BRI,Mathéo GUYON,https://www.allrugby.com/joueurs/matheo-guyon-18311.html,1,0,14,,,,2027-06-30,Stado Tarbes Pyrénées Rugby (2019 - 2025) | CA Brive Corrèze Limousin (2025 - 2027)
PROD2,BRI,Mathis GALTHIÉ,https://www.allrugby.com/joueurs/mathis-galthie-12865.html,15,8,581,1,,,2027-06-30,Avenir Castanéen Rugby XV (2019 - 2021) | US Colomiers (2021 - 2025) | CA Brive Corrèze Limousin (2025 - 2027)
